Date,Weekday,Holiday
1932-02-22,Monday,Washingtons Birthday
1932-03-25,Friday,Good Friday Day
1932-05-30,Monday,Memorial Day
1932-06-14,Tuesday,FlagDay
1932-07-04,Monday,IndependenceDay
1932-09-05,Monday,Labor Day
1932-10-12,Wednesday,ColumbusDay
1932-11-08,Tuesday,ElectionDay
1932-11-24,Thursday,Thanks giving
1932-12-26,Monday,Christmas (observed)
1933-01-02,Monday,New Years Day (observed)
1933-02-13,Monday,LincolnsBirthday (observed)
1933-02-22,Wednesday,Washingtons Birthday
1933-03-06,Monday,NationalBankingHoliday
1933-03-07,Tuesday,NationalBankingHoliday
1933-03-08,Wednesday,NationalBankingHoliday
1933-03-09,Thursday,NationalBankingHoliday
1933-03-10,Friday,NationalBankingHoliday
1933-03-13,Monday,NationalBankingHoliday
1933-04-14,Friday,Good Friday Day
1933-05-30,Tuesday,Memorial Day
1933-06-14,Wednesday,FlagDay
1933-07-04,Tuesday,IndependenceDay
1933-09-04,Monday,Labor Day
1933-10-12,Thursday,ColumbusDay
1933-11-07,Tuesday,ElectionDay
1933-11-30,Thursday,Thanks giving
1933-12-25,Monday,Christmas
1934-01-01,Monday,New Years Day
1934-02-12,Monday,LincolnsBirthday
1934-02-22,Thursday,Washingtons Birthday
1934-03-30,Friday,Good Friday Day
1934-05-30,Wednesday,Memorial Day
1934-06-14,Thursday,FlagDay
1934-07-04,Wednesday,IndependenceDay
1934-09-03,Monday,Labor Day
1934-10-12,Friday,ColumbusDay
1934-11-06,Tuesday,ElectionDay
1934-11-12,Monday,VeteransDay (observed)
1934-11-29,Thursday,Thanks giving
1934-12-25,Tuesday,Christmas
1935-01-01,Tuesday,New Years Day
1935-02-12,Tuesday,LincolnsBirthday
1935-02-22,Friday,Washingtons Birthday
1935-04-19,Friday,Good Friday Day
1935-05-30,Thursday,Memorial Day
1935-06-14,Friday,FlagDay
1935-07-04,Thursday,IndependenceDay
1935-09-02,Monday,Labor Day
1935-10-11,Friday,ColumbusDay (observed)
1935-11-05,Tuesday,ElectionDay
1935-11-11,Monday,VeteransDay
1935-11-28,Thursday,Thanks giving
1935-12-25,Wednesday,Christmas
1936-01-01,Wednesday,New Years Day
1936-02-12,Wednesday,LincolnsBirthday
1936-02-21,Friday,Washingtons Birthday (observed)
1936-04-10,Friday,Good Friday Day
1936-05-29,Friday,Memorial Day (observed)
1936-06-15,Monday,FlagDay (observed)
1936-07-03,Friday,Independence Day (observed)
1936-09-07,Monday,Labor Day
1936-10-12,Monday,ColumbusDay
1936-11-03,Tuesday,ElectionDay
1936-11-11,Wednesday,VeteransDay
1936-11-26,Thursday,Thanks giving
1936-12-25,Friday,Christmas
1937-01-01,Friday,New Years Day
1937-02-12,Friday,LincolnsBirthday
1937-02-22,Monday,Washingtons Birthday
1937-03-26,Friday,Good Friday Day
1937-05-31,Monday,Memorial Day (observed)
1937-06-14,Monday,FlagDay
1937-07-05,Monday,Independence Day (observed)
1937-09-06,Monday,Labor Day
1937-10-12,Tuesday,ColumbusDay
1937-11-02,Tuesday,ElectionDay
1937-11-11,Thursday,VeteransDay
1937-11-25,Thursday,Thanks giving
1937-12-24,Friday,Christmas (observed)
1937-12-31,Friday,New Years Day (observed)
1938-02-11,Friday,LincolnsBirthday (observed)
1938-02-22,Tuesday,Washingtons Birthday
1938-04-15,Friday,Good Friday Day
1938-05-30,Monday,Memorial Day
1938-06-14,Tuesday,FlagDay
1938-07-04,Monday,IndependenceDay
1938-09-05,Monday,Labor Day
1938-10-12,Wednesday,ColumbusDay
1938-11-08,Tuesday,ElectionDay
1938-11-11,Friday,VeteransDay
1938-11-24,Thursday,Thanks giving
1938-12-26,Monday,Christmas (observed)
1939-01-02,Monday,New Years Day (observed)
1939-02-13,Monday,LincolnsBirthday (observed)
1939-02-22,Wednesday,Washingtons Birthday
1939-04-07,Friday,Good Friday Day
1939-05-30,Tuesday,Memorial Day
1939-06-14,Wednesday,FlagDay
1939-07-04,Tuesday,IndependenceDay
1939-09-04,Monday,Labor Day
1939-10-12,Thursday,ColumbusDay
1939-11-07,Tuesday,ElectionDay
1939-11-10,Friday,VeteransDay (observed)
1939-11-30,Thursday,Thanks giving
1939-12-25,Monday,Christmas
1940-01-01,Monday,New Years Day
1940-02-12,Monday,LincolnsBirthday
1940-02-22,Thursday,Washingtons Birthday
1940-03-22,Friday,Good Friday Day
1940-05-30,Thursday,Memorial Day
1940-06-14,Friday,FlagDay
